id,operational_order_id,produto,quantidade,unidade,created_at,lote,valor_unitario
143c8401-331b-4754-b06a-ab4a99f6bfcb,69bca353-dcb2-4290-b1a8-cbab32c1c883,LF_LARVA_DESIDRATADA,56,kg,2026-04-29 18:54:35.878282+00,ROCK042026,32.00
5f4d94d2-844c-4ddf-aaa5-b54a852afb4f,a2b472ca-46de-403f-8b70-a938a9983799,LF_FARINHA_BSF_DESENGORDURADA,20,kg,2026-04-29 19:07:57.081858+00,FDEG03022026C,28.00
aa691978-e757-4597-bd29-6cce36b8e2bb,a2b472ca-46de-403f-8b70-a938a9983799,LF_LARVA_DESIDRATADA,8,kg,2026-04-29 19:07:57.081858+00,ROCK042026,28.00
f58ce404-90eb-4386-af86-372dc902d150,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_CAIXA_SEEDING,1,un,2026-03-25 17:34:18.992206+00,,
faa1f507-6e7d-43fb-98c9-2caa99133ea0,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_SUPLEMENTO_INTEGRAL_180G,1,un,2026-03-25 17:34:18.992206+00,,
3eaa9a28-1154-4562-8514-00980898908b,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_ORIGINAL_90G,2,un,2026-03-25 17:34:18.992206+00,,
585dc402-1f7a-461e-8ff5-14d04bfd4dbc,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_MORDIDA_LEGUMES_180G,1,un,2026-03-25 17:34:18.992206+00,,
3e7f437e-c48a-434d-94ca-1de5bb43967f,b24e9dd2-c30d-4a23-8f00-10e24243cc16,LF_LARVA_DESIDRATADA,56,kg,2026-04-29 19:20:26.237211+00,ROCK042026,32.00
4c521223-365b-4055-b83e-62b1b39a8604,c92e5b7c-fe81-4ba2-885c-68f827916351,CD_KIT_AMOSTRAS,1,un,2026-05-03 16:00:50.376798+00,,
8c0a62bb-9a7a-40dd-a268-8e71ae9aa049,c92e5b7c-fe81-4ba2-885c-68f827916351,CD_MORDIDA_SPIRULINA_180G,1,un,2026-05-03 16:00:50.376798+00,,
e169e717-c58d-46e2-88ba-ffeec6563a0a,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_SUPLEMENTO_GATOS_180G,1,un,2026-03-26 15:13:06.898279+00,,
df33aede-98da-41d8-bfac-1abad30aadd8,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_ORIGINAL_90G,1,un,2026-03-26 15:13:06.898279+00,,
f2db11cd-0e13-4701-864d-d2398de28039,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_MORDIDA_LEGUMES_180G,1,un,2026-03-26 15:13:06.898279+00,,
fb2a97f4-ed04-450c-b2b0-ccec3de5ec9f,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_GRUB_120G,1,un,2026-03-26 15:13:06.898279+00,,
875b31ae-6793-41ea-b2fb-9d5cdabb8084,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_QR_CODE,1,un,2026-03-26 15:13:06.898279+00,,
7a6121d8-6d4e-46c9-8f9c-8304811c82fa,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_INFOGRAFICO,1,un,2026-03-26 15:13:06.898279+00,,
abe345fc-2e01-43b9-a44d-f59b3c409a0b,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_ADESIVO,1,un,2026-03-26 15:13:06.898279+00,,
4036189c-d9b3-49fc-9a36-8066e5e6a42b,08e55246-75cd-4875-bc3e-e9677d5c9de0,CD_ORIGINAL_90G,30,un,2026-03-26 17:19:04.464026+00,ROCK032026,26.80
e43fc21d-27c1-445d-9560-da92ac025fb6,08e55246-75cd-4875-bc3e-e9677d5c9de0,CD_MORDIDA_LEGUMES_180G,8,un,2026-03-26 17:19:04.464026+00,01073,26.80
3ac2668f-2eaa-4ce8-96fd-0bff3b3e9bd7,08e55246-75cd-4875-bc3e-e9677d5c9de0,CD_MORDIDA_SPIRULINA_180G,8,un,2026-03-26 17:19:04.464026+00,02072,26.80
ed08520c-f3f9-4d83-bf81-8f261364d98e,08e55246-75cd-4875-bc3e-e9677d5c9de0,CD_SUPLEMENTO_INTEGRAL_180G,6,un,2026-03-26 17:19:04.464026+00,SIC014,74.30
97f474b4-069f-48fe-8f5a-fdac3cf3c68c,08e55246-75cd-4875-bc3e-e9677d5c9de0,CD_SUPLEMENTO_CONCENTRADO_200G,6,un,2026-03-26 17:19:04.464026+00,SCC014,74.30
4ea37c30-2532-4201-b6ff-306df01bc7d4,57abc090-1cb1-4b6c-9b2c-a5f013b608af,LF_LARVA_DESIDRATADA,1,kg,2026-05-04 13:04:56.655663+00,,
5385b800-4afe-45a8-ae9d-e52bd5498f32,57abc090-1cb1-4b6c-9b2c-a5f013b608af,CD_SUPLEMENTO_CONCENTRADO_200G,5,un,2026-05-04 13:04:56.655663+00,,
dcf97e13-108d-4315-a493-56a7e8611362,5ce25372-3328-47ea-8412-a6432e9cda05,CD_CAIXA_SEEDING,1,un,2026-03-26 18:22:11.65456+00,,
b4e77864-ef41-4e51-a090-32edea648c0f,5ce25372-3328-47ea-8412-a6432e9cda05,CD_SUPLEMENTO_INTEGRAL_180G,1,un,2026-03-26 18:22:11.65456+00,,
232d72da-cfc3-4976-9121-06052af710dc,5ce25372-3328-47ea-8412-a6432e9cda05,CD_ORIGINAL_90G,1,un,2026-03-26 18:22:11.65456+00,,
adf6f077-bb70-4643-99c0-83d561dd04c1,5ce25372-3328-47ea-8412-a6432e9cda05,CD_INFOGRAFICO,1,un,2026-03-26 18:22:11.65456+00,,
fdbb2953-be06-4928-8fcc-ade5ffe4a1c2,5ce25372-3328-47ea-8412-a6432e9cda05,CD_ADESIVO,1,un,2026-03-26 18:22:11.65456+00,,
815667fa-cccc-4575-a491-00903cb49756,5ce25372-3328-47ea-8412-a6432e9cda05,CD_QR_CODE,1,un,2026-03-26 18:22:11.65456+00,,
d2c839f2-8459-4aaa-932a-3f73148841db,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_CAIXA_SEEDING,3,un,2026-03-27 20:56:28.790568+00,,
ba75ba67-61bb-4a14-875e-0204370ec492,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_ORIGINAL_90G,3,un,2026-03-27 20:56:28.790568+00,,
06f13591-7dd5-400f-833e-f19bafcb078d,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_MORDIDA_LEGUMES_180G,3,un,2026-03-27 20:56:28.790568+00,,
9c95069a-2f7a-43d2-8a85-2ab6136febd2,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_SUPLEMENTO_INTEGRAL_180G,3,un,2026-03-27 20:56:28.790568+00,,
5e5a5513-e9da-468b-b2a1-13d8e2ea6c4c,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_INFOGRAFICO,3,un,2026-03-27 20:56:28.790568+00,,
a87b16f0-8140-4a71-8620-cda86d795349,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_QR_CODE,1,un,2026-03-27 20:56:28.790568+00,,
b341a35f-e959-4129-b7c8-da693f02b3f6,3fe91579-f8ee-4080-bbea-16bc810da7db,CD_ADESIVO,3,un,2026-03-27 20:56:28.790568+00,,
eb27d3b5-cca0-4fd4-b0ea-73daec38796e,c8d68bb1-624a-4b12-a283-6875903e6467,CD_MORDIDA_SPIRULINA_180G,2,un,2026-03-30 18:49:03.544867+00,,
d67f029e-fec5-4fed-b41f-3409a9b3f052,27164eee-3608-4f82-9c22-510398aa0d1d,CD_MORDIDA_SPIRULINA_180G,1,un,2026-04-01 19:44:43.798378+00,,
943866b0-1675-4968-b73f-71394427b292,e6d67b27-2e17-4d30-98f0-ec8f77fbcf67,CD_KIT_AMOSTRAS,1,un,2026-04-02 17:40:19.560913+00,,
1fd85bba-2fda-444c-81e2-c26ff9342379,a4257d9f-2cf8-4f1a-971d-d70a7a48dc27,CD_ORIGINAL_90G,15,un,2026-04-08 13:35:06.011371+00,Rock032026,27.30
d75402fa-282c-492b-806d-accc746e5062,a4257d9f-2cf8-4f1a-971d-d70a7a48dc27,CD_MORDIDA_SPIRULINA_180G,15,un,2026-04-08 13:35:06.011371+00,02076,27.30
d350ee00-6262-4cab-8cc9-56e763277567,a4257d9f-2cf8-4f1a-971d-d70a7a48dc27,CD_SUPLEMENTO_CONCENTRADO_200G,6,un,2026-04-08 13:35:06.011371+00,SCC012,76.40
bbdd2e3f-cb6e-4442-88b8-54a093779d21,28cef53e-6cae-438f-b41a-be51e2972474,CD_ORIGINAL_90G,2,un,2026-04-08 20:38:51.736235+00,,
ff673086-1ed5-4ede-bd8c-dc60738a4846,28cef53e-6cae-438f-b41a-be51e2972474,CD_SUPLEMENTO_INTEGRAL_180G,1,un,2026-04-08 20:38:51.736235+00,,
cec27c1a-d1cb-42a2-9250-ebf08240211d,28cef53e-6cae-438f-b41a-be51e2972474,CD_CAIXA_SEEDING,1,un,2026-04-08 20:38:51.736235+00,,
76f29f2f-2fe7-42d2-a98f-7738c8c27142,28cef53e-6cae-438f-b41a-be51e2972474,CD_INFOGRAFICO,1,un,2026-04-08 20:38:51.736235+00,,
27eeec5b-ac36-4bf9-afe2-d8d956dcd0e8,28cef53e-6cae-438f-b41a-be51e2972474,CD_QR_CODE,1,un,2026-04-08 20:38:51.736235+00,,
3f7408e7-3a89-4707-91b7-ef1e740f23b0,28cef53e-6cae-438f-b41a-be51e2972474,CD_ADESIVO,1,un,2026-04-08 20:38:51.736235+00,,
3c83838a-b765-440b-8d9e-0949154068ec,a7278c6e-0806-4250-9948-de642f210a0b,LF_FARINHA_BSF_DESENGORDURADA,20,kg,2026-04-09 14:19:54.10291+00,FDEG03022026C,44.00
66c0bd95-3249-4203-a710-807f95e0a3d2,8cf0f569-8164-4160-be0e-4d493381a5d1,LF_FARINHA_BSF_DESIDRATADA,200,kg,2026-04-09 14:30:34.138625+00,ROCK032025,26.00
dea93bd7-3f47-40e7-9187-b0daae83e422,8cf0f569-8164-4160-be0e-4d493381a5d1,LF_FARINHA_BSF_DESIDRATADA,104,kg,2026-04-09 14:30:34.138625+00,ROCK042025,26.00
240ade72-be5e-4ebd-bf18-545bf6d363f5,c1a10bfe-0157-467e-bcb1-7e5b7ef5d01c,CD_KIT_AMOSTRAS,1,un,2026-04-09 15:12:23.043762+00,,
972d2872-15e7-41f6-9c1d-3489899f45b3,1b00ccfa-0b55-4bc7-9f12-32c331606102,CD_ORIGINAL_90G,15,un,2026-04-14 17:44:46.254792+00,ROCK032026,27.00
57a61a1a-b112-414b-a3e0-7f9bfb775629,e039dd1f-efc3-458f-8822-ca1f3dea8ab0,CD_GRUB_120G,1,un,2026-04-16 13:30:12.458817+00,,
7998dd08-d697-4f88-b13c-f87873c4dac1,e039dd1f-efc3-458f-8822-ca1f3dea8ab0,CD_CAIXA_SEEDING,1,un,2026-04-16 13:30:12.458817+00,,
2f0d7020-23b6-4c90-a148-640746d3b4cb,e039dd1f-efc3-458f-8822-ca1f3dea8ab0,CD_ADESIVO,1,un,2026-04-16 13:30:12.458817+00,,
c2662b96-100b-4093-bf34-df0cfb0c0bb7,707f39d9-61dd-4b44-9b47-8afaf0690bb4,CD_KIT_AMOSTRAS,1,un,2026-04-16 13:44:34.239132+00,,
0cae6b2f-bf2a-4b98-bbde-9957d14a924e,59d7615b-0b5f-4e3d-bbd0-0826fe572065,LF_FARINHA_BSF_INTEGRAL,5,kg,2026-04-24 17:17:00.639621+00,FDEG03022026C,
e05c88be-8183-42b8-924c-54285d5f1333,59d7615b-0b5f-4e3d-bbd0-0826fe572065,LF_FARINHA_BSF_DESENGORDURADA,5,kg,2026-04-24 17:17:00.639621+00,FINT042026,
532333c6-c1d7-4654-8a44-e2e0a1d8eca2,d017d09d-67a8-4cc3-9fcb-48f7bfb5095b,CD_ORIGINAL_90G,28,un,2026-04-28 00:03:18.674199+00,ROCK032026,16.00
51cdb4ba-ffb9-4955-99b6-2cf2b3718b09,d017d09d-67a8-4cc3-9fcb-48f7bfb5095b,CD_MORDIDA_LEGUMES_180G,28,un,2026-04-28 00:03:18.674199+00,01075,16.00
2bfdca65-cf30-419e-a1f0-1140220dc9be,d017d09d-67a8-4cc3-9fcb-48f7bfb5095b,CD_MORDIDA_SPIRULINA_180G,28,un,2026-04-28 00:03:18.674199+00,02074,16.00
2e1d5bd7-c4ae-44e5-8140-21381d42220e,18d3a0bd-eb75-4c97-bf29-53fc1f192761,CD_AMOSTRA_ORIGINAL,50,un,2026-04-28 00:04:14.943974+00,,0.00
45816905-c86b-4fd5-ade2-305a8309926c,18d3a0bd-eb75-4c97-bf29-53fc1f192761,CD_AMOSTRA_LEGUMES,10,un,2026-04-28 00:04:14.943974+00,,0.00
361dbf84-8182-4f4b-af09-ef9d3847827d,18d3a0bd-eb75-4c97-bf29-53fc1f192761,CD_AMOSTRA_SPIRULINA,10,un,2026-04-28 00:04:14.943974+00,,0.00
eabd384c-05ce-4fbf-9e6e-1185c68e6a78,18d3a0bd-eb75-4c97-bf29-53fc1f192761,CD_AMOSTRA_SUPLEMENTO_INTEGRAL,10,un,2026-04-28 00:04:14.943974+00,,0.00
01cda7f3-fe96-4563-9349-ee9654c98c2d,18d3a0bd-eb75-4c97-bf29-53fc1f192761,CD_AMOSTRA_SUPLEMENTO_CONCENTRADO,10,un,2026-04-28 00:04:14.943974+00,,0.00
2917289c-c694-43fb-a6e4-a141aaf96b21,18d3a0bd-eb75-4c97-bf29-53fc1f192761,CD_AMOSTRA_GATOS,10,un,2026-04-28 00:04:14.943974+00,,0.00
7c007ef4-eeef-425e-a090-18a2cf0f0be6,b9f8b5d1-cbee-4ec4-984c-636168e66375,CD_KIT_ORIGINAL_3X,1,un,2026-04-28 16:38:30.957274+00,,
4650ed3c-be1f-4595-ac29-316b92bdba88,b9f8b5d1-cbee-4ec4-984c-636168e66375,CD_ADESIVO,1,un,2026-04-28 16:38:30.957274+00,,
4afdf497-300a-42b9-87ea-be4d413ced13,b9f8b5d1-cbee-4ec4-984c-636168e66375,CD_MORDIDA_LEGUMES_180G,1,un,2026-04-28 16:38:30.957274+00,,
d49f2b86-5e6d-49d3-8d22-7ae1a254b51c,444c6bfa-3b33-4ee3-a31c-fac9334e4bca,CD_KIT_AMOSTRAS,1,un,2026-04-29 15:21:53.33915+00,,
9282d127-c405-4b05-be2a-8da2ca9890a9,bb8c8fb6-325e-4791-a94b-b0715fc0f319,LF_OLEO_BSF,2,kg,2026-05-04 14:42:36.454253+00,,10.00
2bf1378a-9fd4-4bed-8cfc-ac7a7f15b8dd,bb8c8fb6-325e-4791-a94b-b0715fc0f319,LF_FARINHA_BSF_INTEGRAL,1,kg,2026-05-04 14:42:36.454253+00,,10.00
c20fae05-ed77-43ef-b7c6-4bfd45dd5b44,bb8c8fb6-325e-4791-a94b-b0715fc0f319,LF_FARINHA_BSF_DESENGORDURADA,1,kg,2026-05-04 14:42:36.454253+00,,9.97
